evidence_scope,tier,case_role,focal_firm,speaker,date,month,channel,title,source,lang,words,stance,cells_filled,demand_hits,supply_hits,value_sents,metric_sents,ai_linked_sents,mentions,url,file,n_tech_cur,prov_tech_cur,q_tech_cur,n_tech_fut,prov_tech_fut,q_tech_fut,n_tech_unspec,n_act_cur,prov_act_cur,q_act_cur,n_act_fut,prov_act_fut,q_act_fut,n_act_unspec,n_bnd_cur,prov_bnd_cur,q_bnd_cur,n_bnd_fut,prov_bnd_fut,q_bnd_fut,n_bnd_unspec,n_goal_cur,prov_goal_cur,q_goal_cur,n_goal_fut,prov_goal_fut,q_goal_fut,n_goal_unspec,usable,usable_reason,fit
full,A,adopter_self,Zapier,Zapier,2025-11-24,2025-11,Zapier,"Zapier's Big AI Plans for 2026 Revealed! - Leadership, Culture, Tools, Governance",channel,ko,8375,anti_washing,8,36,10,6,6,132,Zapier(22); Microsoft(2); Google(1); Cursor(1),https://www.youtube.com/watch?v=EfHm1Qjztd0,"transcripts/channels/Zapier/Zapier's_Big_AI_Plans_for_2026_Revealed!_-_Leadership,_Cultu__EfHm1Qjztd0.md",7,4,저희는 올해 하반기에만 AI 에이전트 빌더 세션부터 임원진 라운드 테이블까지 총 36개의 세션을 진행했습니다.,5,4,"이는 기본적으로 회사 및 조직별 데이터에 맞춰 조정된 에이전트 및 관련 워크플로우를 전반적으로 최적화하는 것으로, 조직 내 모든 구성원의 오른팔 역할을 하여 효율성, 품질 및 직원 경험을 의미 있게 향상시키는 것을 목표로 합니다 .",14,8,4,"그리고 좋은 소식은 우리가 이 여정을 시작한 지 2년 반이 지났고, 이제 AI 워크플로우를 구축, 배포 및 관리하는 데 있어 몇 가지 모범 사례, 즉 우리가 '황금 경로'라고 부르는 것들을 보기 시작했다는 것입니다 .",6,4,"Zap의 모든 팀은 내년에도 AI를 활용한 업무 방식을 지속적으로 개선하고, 업무에서 불필요한 반복 작업을 없애고, 고객 과의 업무 품질을 향상시킬 것입니다 .",7,1,1,"덴버에서 열린 워크숍에 참석 중이었는데, 호텔 방에서 휴대폰을 집어 들고 파트너에게 전화를 걸어 ""방금 인공지능의 미래를 봤는데, 그걸 배우기 위해 할 수 있는 모든 일을 잠시 미뤄두려고 해.""라고 말했습니다.",1,1,"하지만 저희는 회사 내 모든 직무에 일정 수준의 AI 활용 능력을 요구하는 것에 대해 전혀 사과할 생각이 없으며, 해당 AI 활용 능력 프레임워크도 오픈 소스로 공개했습니다 .",1,1,1,"저희는 이러한 AI 전환 과정에서 만족도와 참여도를 향상시킬 수 있었는데, 그 이유는 업무에 집중하고 학습을 위한 시간과 구조를 마련하는 등 우선순위를 효과적으로 설정했기 때문입니다.",11,4,두 번째 전략은 AI 기반 가치 공학이라고 부릅니다.,3,Y,,93
full,A,third_party_case,SK(지주·그룹),티타임즈TV,2026-07,2026-07,티타임즈TV,현장에서 AI 트랜스포메이션 이끌면서 배운 것 (황재선 SK 부사장),keyword,ko,4438,washing,8,38,1,8,4,57,SK(지주·그룹)(4); NVIDIA(2); Google(2); Microsoft(2); SK하이닉스(1),https://www.youtube.com/watch?v=b-tgY8Q0SbA,transcripts/2026-07-23/현장에서_AI_트랜스포메이션_이끌면서_배운_것_(황재선_SK_부사장)__b-tgY8Q0SbA.md,8,4,"그러면은 전통적인 머신러닝, 딥러닝을 가지고 원래 DX 시절에 하려고 했던 그런 과제들, 생산 수유를 개선한다라든지 그다음에 가격을 예측한다라든지 이런 과정들을 통해 가지고 뭔가 효과를 보는 단계를 거치고 그리고 나서 저는 AI 에이전트 또는 에이전틱 AI에 맞는 회사로 진화될 거다.",2,2,그럼이 에이전트가 막 실행을 할 건데 사람이 의사 결정해야 되는 포인트 그다음에 성과에 대한 평가는 사람이 해 줘야 되거든요.,2,4,3,"네시보드 자체는 아까 방금 얘기했던 재무적 성과, 비재무적 성과, 그다음에 AI 모델 자체의 성능, 그다음에이 서비스 자체에 대한 이용 같이 담겨야 되는 거고 그게 그 로드맵을 실행하면서 단기에는 아마도 파일럿이기 때문에 파일럿에서는 복잡한 거 없거든요.",3,3,비록 기술에 대한 전문성이 100% 가지지 않더라도 의사 결정은 제대로 해 줘야 되기 때문에 이러한 AI 조직을 저는 도해야 된다라는 거고 그 맥락에서 이제 모든 회사는 AI 팀을 만들자라는 표현을 하고 있는 거고 AI 팀이 있다라고 보면은 결국 현장 현업에서이 어떤 필요성이 있는지 요구 사항이 있는지를 대변해 줘야 되는 현업 조직이 있는 거고 그 현업 조직이 온습이 좀 더 있어야 된다는 얘기를 드리는 거고이가 역할을 할 수 있는 사람들의 에 대한 육성도 같이해…,7,2,2,딱 성과 측정 한 가지만 해 가지고 파일럿 한번 해 보고 이게 중기로 넘어가면은 전차적으로 이렇게 확대가 될 거기 때문에 그랬을 때는 조금 더 지금보다는 더 확장돼서 고민을 해 봐야 되는 거고 장기적으로 갔을 때는 BM의 전환이라든지 전체가 이제 A의 트랜스포메이션 될 거기 때문에 단기 중기 장기에 맞춰 가지고도 이러한 지표들을 조금 더 정교하게 설명드리는게 점점 더 투자를 가속화하고 전사를 확장할 때도 중요하더라라고 했던 부분들도 좀 챙겨야 에 되는 부분들이고…,1,1,비록 기술에 대한 전문성이 100% 가지지 않더라도 의사 결정은 제대로 해 줘야 되기 때문에 이러한 AI 조직을 저는 도해야 된다라는 거고 그 맥락에서 이제 모든 회사는 AI 팀을 만들자라는 표현을 하고 있는 거고 AI 팀이 있다라고 보면은 결국 현장 현업에서이 어떤 필요성이 있는지 요구 사항이 있는지를 대변해 줘야 되는 현업 조직이 있는 거고 그 현업 조직이 온습이 좀 더 있어야 된다는 얘기를 드리는 거고이가 역할을 할 수 있는 사람들의 에 대한 육성도 같이해…,0,3,3,"네시보드 자체는 아까 방금 얘기했던 재무적 성과, 비재무적 성과, 그다음에 AI 모델 자체의 성능, 그다음에이 서비스 자체에 대한 이용 같이 담겨야 되는 거고 그게 그 로드맵을 실행하면서 단기에는 아마도 파일럿이기 때문에 파일럿에서는 복잡한 거 없거든요.",2,2,책에는 실제 회사에서 진행하게 됐을 때는 어떠한 방법론 로드맵을 가지고 진행해야 될지 그리고 구체적으로 그 진행에 따른 뭐 전략이라든지 우리 CEO들의 어떤 생각이라든지 성과 측정이라든지 구체적인 사례들도 좀 말씀을 드렸고 지금 남들은 어떤 서비스 또는 AI를 활용하고 있지라는 부분들에서는 제가 지난 5년간 SK에서 또 많이 고민하면서 적용했을 때에 뭐 어떤 솔루션들을 앞으로 AI를 가지고 적용하면 좋을지에 대한 뭐 솔루션에 대한 소개라든지 지금이 AI를 이제 …,2,Y,,88
full,A,adopter_self,Zapier,Zapier,2026-03-09,2026-03,Zapier,Leading through AI: How top executives are turning AI mandates into real business transformation,channel,ko,7909,washing,8,24,1,4,2,83,Zapier(4); Google(2),https://www.youtube.com/watch?v=g6q02hUd_Wc,transcripts/channels/Zapier/Leading_through_AI_How_top_executives_are_turning_AI_mandate__g6q02hUd_Wc.md,2,2,"그리고 사람들이 상황을 제대로 파악하게 되면서 , 음, 작년에 정말 기억에 남는 일이 하나 있는데, 어느 날 챗봇이 다운됐어요.",1,1,"이러한 프로그램 중 일부는 오늘날 리더들과의 폭넓은 대화에서부터, 참가자들이 직접 AI 에이전트를 개발하거나 차세대 AI 에이전트를 구축하거나, 조직 내에서 AI를 더욱 효과적으로 활용하는 데 사용할 수 있는 프레임워크를 개발하는 실제 빌더 워크숍에 이르기까지 다양합니다.",9,7,4,올해 중반 말부터 승진 심사 기준에 인공지능 활용 능력 기준이 포함됩니다 .,5,4,저는 Zapier의 최고 인사 및 AI 혁신 책임자인 브랜든 수무트입니다 .,4,1,1,"웹플로우는 몇 년 전에 이 회사를 인수했고, 현재 CMO와 CEO가 있습니다.",3,3,그래서 2026년 2분기에 Zapier의 AI 유창성 프레임워크 V2를 오픈 소스로 공개할 예정입니다.,3,3,3,우리는 AI에 맞춰 비즈니스 OKR을 도입하고 기회의 우선순위를 정하기 시작했습니다.,2,2,하지만 어떻게 하면 인공지능의 무작위적인 행동에서 벗어나 우리가 중요하게 생각하는 비즈니스 목표를 측정 가능한 방식으로 달성할 수 있을까요?,6,Y,,87
full,B,adopter_self,ServiceNow,ServiceNow,2026-05-07,2026-05,ServiceNow,Welcome to Agentic Business | ServiceNow Knowledge 2026 Opening Keynote,channel,ko,9200,anti_washing,7,27,14,5,5,143,ServiceNow(22); NVIDIA(10); Microsoft(6); Google(3); Anthropic(2),https://www.youtube.com/watch?v=jeo2V1w-Peg,transcripts/channels/ServiceNow/Welcome_to_Agentic_Business_ServiceNow_Knowledge_2026_Openin__jeo2V1w-Peg.md,16,4,우리는 이미 에이전트형 AI를 통해 30% 이상의 생산성 향상을 달성하고 있습니다 .,9,4,하지만 바로 이 시점에 수십억 개의 에이전트와 로봇이 온라인에 접속하고 있습니다.,35,9,4,영업 측면에서 자율형 영업 CRM은 이미 고객에게 실질적인 성과를 제공하고 있습니다.,1,1,"이들은 귀사의 기업 데이터를 기반으로 하고, 귀사의 정책에 따라 관리되며, 모든 단계에 대한 완벽한 감사 기록을 남기면서, 완전한 워크플로우를 단 몇 초 만에 실행합니다.",17,2,2,그리고 저희의 첫 번째 파트너 중 하나인 앤 트로픽(Anthropic)이 현재 이 기술을 실제로 적용하고 있습니다 .,1,1,"그들은 인간 인력을 보완하는 이상적인 파트너로서, 여러분 모두가 AI 혁명과 함께 성장할 수 있도록 보장합니다 .",2,0,0,,1,1,"전 세계 노동력은 고령화되고 출산율은 감소하고 있으며, 2030년까지 최대 5천만 명의 노동력 부족에 직면할 것입니다.",5,Y,,85
full,A,adopter_self,Siemens,Siemens,2026-01-07,2026-01,Siemens,The Industrial AI Revolution: Siemens Keynote at CES 2026,channel,ko,6583,neutral,8,6,10,4,5,71,NVIDIA(7); Microsoft(7); Meta(2); Google(1); GitHub(1),https://www.youtube.com/watch?v=R4Wm6YdoZSs,transcripts/channels/Siemens/The_Industrial_AI_Revolution_Siemens_Keynote_at_CES_2026__R4Wm6YdoZSs.md,7,4,세멘스는 50년 이상 산업 분야에 AI를 적용해 온 경험을 바탕으로 이러한 솔루션을 구축할 수 있습니다.,2,2,"첫 번째 물결은 사람들이 AI를 챗봇으로 사용하는 것이었죠 , 그렇죠?",10,6,4,이는 여러분 손에 들린 휴대폰부터 여러분이 운전하는 자동차에 이르기까지 제품을 설계하고 제조하는 방식을 재정의하고 있습니다.,4,3,우리는 2026년에 독일에서 최초의 완전 AI 기반 적응형 제조 시설을 시작할 예정입니다.,10,2,2,그렇기 때문에 마이크로소프트에게 Seammens와의 파트너십은 매우 중요합니다.,1,1,두 회사가 협력하는 완벽한 파트너십처럼 들리지 않나요 ?,9,2,2,산업용 AI 운영 체제도 같은 비전을 가져야 합니다.,3,3,"이것이 바로 3년 전에 저희가 이야기했던 비전이었고, 이제 그 여정의 시작점에 서게 되었습니다.",2,Y,,84
full,A,adopter_self,Zapier,Zapier,2026-02-16,2026-02,Zapier,[AMA] Kickstart Your AI Fluency: Exec Ops & HR Transformation with Zapier and Zoominfo,channel,ko,7147,anti_washing,8,21,5,1,0,89,Google(4); Zapier(4); Slack(2); Snowflake(1),https://www.youtube.com/watch?v=jONuMTU-_uM,transcripts/channels/Zapier/[AMA]_Kickstart_Your_AI_Fluency_Exec_Ops_&_HR_Transformation__jONuMTU-_uM.md,10,4,지난 몇 년간 AI 열풍 속에서 저는 단순히 GPT를 가볍게 사용하던 것에서 이제는 제 업무를 대신하는 에이전트들을 여러 대 보유하게 되었습니다.,7,4,"음, 에이전트를 통해서 할 수 있는 일이 정말 많아요.",25,3,3,"음, 제 생각엔 그게 바로 일하는 방식인 것 같아요.",2,2,"오늘은 모든 것을 다룰 예정이며, 녹화 말미에 임원진 운영 및 인사 관리 관련 활용 사례가 담긴 자료를 공유하여 여러분이 바로 구축에 착수할 수 있도록 하겠습니다.",8,1,1,"제가 코파일럿(기본적으로 에이전트 구축을 도와주는 파트너)에 입력하는 내용은, 매주 목표 대비 진행 상황을 알려주는 에이전트를 만들고 싶다는 것입니다.",1,1,"코트니 씨, 그렇다면 그 랭크키 고객, 잠재적 파트너 또는 주요 투자자로부터의 중요한 연락이 누락되지 않도록 어떤 플래그나 오버라이드 기능을 사용하시나요?",2,2,2,"그리고 음성으로 더 많이 녹음할수록, 전략적 사고와 같은 부분을 도구 자체에 맡기는 데 도움이 될 수 있습니다.",1,1,"음, 솔직히 말씀드리면, 여기서 목표는 여러분이 직접 따라 만들 수 있도록 하는 것이 아니라, 아이디어에서 에이전트나 자동화 시스템의 베타 버전까지 얼마나 간단하게 진행할 수 있는지 보여드리는 것입니다.",8,N,가치·수치 문장 1개 (< 2) — value-adding 척도를 매길 수 없음,81
full,B,adopter_self,Intel,Intel,2025-11-19,2025-11,Intel,AI Industrialization: The Next Frontier for Global Enterprises | Intel,channel,ko,2401,anti_washing,7,21,0,3,2,52,Intel(4),https://www.youtube.com/watch?v=fSadUMtpwcY,transcripts/channels/Intel/AI_Industrialization_The_Next_Frontier_for_Global_Enterprise__fSadUMtpwcY.md,3,3,"저희는 약 35,000명의 사무직 직원 모두 에게 코파일럿과 같은 생성형 AI 도구에 대한 접근 권한을 제공했습니다 .",1,1,그래서 우리는 자동화 및 에이전트 기반 워크플로우 생성을 위한 이 엄청난 기회를 활용할 수 있는 매우 유리한 위치에 있습니다.,7,1,1,"이러한 출시 과정은 명확한 커뮤니케이션, 주간 라이브 세션, 자기 주도 학습, AI 활용 능력 캠페인 및 고위 경영진과의 적극적인 참여를 포함한 전사적 교육 프로그램을 통해 지원되었습니다.",2,2,"그의 노력은 PMI의 AI 팩토리를 구축하는 데 도움이 되었으며 , 이는 재사용 가능한 차세대 AI 기능을 통해 비즈니스 가치를 제공하도록 설계된 모듈식의 안전한 생태계입니다.",6,0,0,,1,1,"그의 노력은 PMI의 AI 팩토리를 구축하는 데 도움이 되었으며 , 이는 재사용 가능한 차세대 AI 기능을 통해 비즈니스 가치를 제공하도록 설계된 모듈식의 안전한 생태계입니다.",1,2,2,그래서 우리는 증가하는 관심을 관리하면서 동시에 우리가 제공할 수 있는 것과 가장 큰 가치를 제공할 수 있는 것에 우선순위를 두는 보다 확장 가능한 방법이 필요하다는 것을 분명히 알게 되었습니다.,2,2,본론으로 들어가기 전에 잠시 시간을 내어 업계를 선도하는 AI 도입을 통해 어떻게 금연 미래라는 비전을 실현하고 있는지 간단히 설명드리겠습니다 .,4,Y,,79
full,A,adopter_self,Siemens,Siemens,2026-03-24,2026-03,Siemens,Industrial AI Is Scaling Now | Roland Busch Keynote | Siemens RXD Summit Beijing,channel,en,11224,washing,8,10,16,3,0,142,Siemens(28); Microsoft(20); Alibaba(10); NVIDIA(4); OpenAI(3),https://www.youtube.com/watch?v=S3vM-v8cbjY,transcripts/channels/Siemens/Industrial_AI_Is_Scaling_Now_Roland_Busch_Keynote_Siemens_RX__S3vM-v8cbjY.md,17,4,"An industrial AI agent recommends what to do next, how to optimize the efficiency, the speed, the quality, and it doesn't stop there.",10,4,"Now, you will hear more in a minute, but the more we use industrial AI, the more compute we need, and that means mainly GPU compute.",20,1,1,"And imagine that the task is he's an online influencer trying to talk about online technology, you know, on Twitter, let's say.",4,3,One out of three manufacturing machines worldwide run on a Siemens controller.,7,11,4,"It is where you, customers and partners, are driving this revolution.",2,2,"Here we are working with another partner, Nvidia.",5,1,1,And all of this is not a vision.,5,4,"The strategy, of course, is in the future everything is going to be driven by AI.",4,Y,,79
full,B,adopter_self,Salesforce,Salesforce,2026-02-24,2026-02,Salesforce,Win More Sales: Salesforce Agentforce for Sales Productivity,channel,ko,4949,anti_washing,6,14,6,8,5,58,Salesforce(16); Slack(1),https://www.youtube.com/watch?v=fJxyv1bYJoc,transcripts/channels/Salesforce/Win_More_Sales_Salesforce_Agentforce_for_Sales_Productivity__fJxyv1bYJoc.md,17,4,현재 Agent Force Sales Coach는 CRM에 있는 계정 및 기회 기록의 세부 정보를 사용하여 제 성과를 분석하고 개인 맞춤형의 실행 가능한 피드백을 제공하고 있습니다.,20,4,"저희는 Agent Force를 통해 어떻게 영업 생산성을 향상시키고 있는지, 그리고 지난 1년간 저희가 걸어온 여정에 대해 이야기 나누고자 합니다 .",20,13,4,현재 Agent Force Sales Coach는 CRM에 있는 계정 및 기회 기록의 세부 정보를 사용하여 제 성과를 분석하고 개인 맞춤형의 실행 가능한 피드백을 제공하고 있습니다.,8,4,"저희는 Agent Force를 통해 어떻게 영업 생산성을 향상시키고 있는지, 그리고 지난 1년간 저희가 걸어온 여정에 대해 이야기 나누고자 합니다 .",16,0,0,,0,0,,2,1,1,우리의 목표는 30일 안에 에이전트 이메일이 사람이 작성한 이메일보다 지속적으로 더 나은 수준이 되는 것이었습니다.,1,1,"그리고 이건 단순히 대체하는 게 아니라, 인간과 에이전트가 전략적으로 협력해야 한다는 겁니다.",3,Y,,78
full,B,adopter_self,Salesforce,Salesforce,2025-12-11,2025-12,Salesforce,Agentforce World Tour NYC | Main Keynote 2025 | Salesforce,channel,ko,6614,neutral,6,14,9,3,9,117,Salesforce(19); Amazon(3); Google(1),https://www.youtube.com/watch?v=sSIB8rZTkew,transcripts/channels/Salesforce/Agentforce_World_Tour_NYC_Main_Keynote_2025_Salesforce__sSIB8rZTkew.md,17,4,"자, 여러분, Agent Force Vibes가 Agent Force 360 ​​플랫폼과 완벽하게 연동되어 여러분 모두가 대화형 방식으로 프로토타입을 구축하고, 에이전트 시대에 제품 출시 시간을 단축할 수 있도록 지원하는 방식이 바로 이것입니다.",17,4,하지만 이처럼 에이전트 중심적인 시대에는 아이디어를 실질적인 비즈니스 가치로 전환하는 방식이 극적으로 변화하고 있습니다.,75,3,3,우리는 560억 건 이상의 아웃바운드 마케팅 메시지를 발송했습니다.,5,4,바로 이 네 가지 계층 덕분에 상담원이 기업 전체 데이터를 기반으로 활동할 수 있으므로 정확성과 같은 놀라운 이점을 얻을 수 있습니다.,19,0,0,,1,1,맨 왼쪽에는 제 코딩 파트너인 에이전트 포스가 있죠 .,1,1,1,"네, 저희 목표는 아주 간단하다고 생각합니다.",0,0,,4,Y,,77
