channel,n_docs,aut_top5,aut_mean,aut_max,aug_top5,aug_mean,aug_max,dat_top5,dat_mean,dat_max,cell_paper,cell_relative
SAP,79,8.8,1.56,15,8.0,0.68,12,8.6,1.38,10,L-L-L,H-H-H
Zapier,132,13.0,4.17,16,5.8,2.43,8,5.8,0.5,9,H-L-L,H-H-H
Weights & Biases,88,8.2,1.8,9,7.6,0.98,12,7.8,2.07,9,L-L-L,H-H-H
Pinecone,46,3.8,0.96,7,8.0,2.93,9,10.4,5.78,11,L-L-H,L-H-H
Intel,62,8.8,1.77,11,7.6,1.15,11,5.8,0.97,7,L-L-L,H-H-H
Microsoft Azure,51,6.8,1.33,11,7.4,1.43,9,6.6,1.35,8,L-L-L,H-H-H
Siemens,50,9.8,3.24,11,3.8,0.52,6,6.2,1.24,11,H-L-L,H-H-H
AWS Events,26,7.6,2.65,9,3.4,0.69,5,8.6,2.27,14,L-L-L,H-H-H
Databricks,65,6.8,1.63,8,4.2,0.86,5,8.6,3.37,9,L-L-L,H-H-H
Weaviate,55,4.6,1.11,6,5.2,1.31,7,9.4,3.64,11,L-L-H,H-H-H
Cohere,61,6.8,1.1,11,5.4,1.23,7,7.0,1.54,8,L-L-L,H-H-H
McKinsey & Company,89,9.8,2.09,12,4.0,0.34,6,4.4,0.37,8,H-L-L,H-H-H
NVIDIA Developer,85,4.6,0.71,6,4.8,0.66,7,8.4,1.32,11,L-L-L,H-H-H
Snowflake,57,6.0,1.16,7,2.0,0.23,3,9.0,3.49,10,L-L-H,H-H-H
Google Cloud Tech,69,5.6,1.29,6,3.6,0.39,5,7.4,1.71,8,L-L-L,H-H-H
LG AI Research,25,6.6,1.6,9,2.6,0.92,4,7.4,2.36,12,L-L-L,H-H-H
Qdrant,32,4.4,1.22,7,4.6,0.94,8,7.4,3.34,8,L-L-L,H-H-H
ServiceNow,45,8.8,2.02,11,2.8,0.36,4,4.6,0.62,8,L-L-L,H-H-H
Palantir,51,8.2,2.59,12,2.4,0.53,4,4.8,1.73,7,L-L-L,H-H-H
Nokia,45,9.8,3.91,11,0.2,0.02,1,4.4,0.49,8,H-L-L,H-L-H
Salesforce,63,6.0,1.3,8,3.4,0.51,5,5.0,1.16,6,L-L-L,H-H-H
NAVER Cloud,31,4.0,1.26,6,3.6,0.65,6,6.8,2.26,7,L-L-L,H-H-H
IBM Technology,46,5.2,1.41,6,4.6,0.7,8,4.4,0.8,7,L-L-L,H-H-H
GitHub,33,3.8,1.12,4,8.2,3.79,9,1.2,0.18,3,L-L-L,L-H-L
Huawei,49,5.6,0.84,7,1.4,0.14,5,6.2,0.96,7,L-L-L,H-L-H
Mistral AI,10,4.8,2.9,6,3.6,1.8,6,4.4,2.2,7,L-L-L,H-H-H
NVIDIA,49,4.8,0.94,6,2.6,0.39,5,5.2,1.0,10,L-L-L,H-H-H
AWS Developers,53,4.2,0.83,5,2.8,0.53,4,5.2,0.77,7,L-L-L,H-H-H
Oracle,32,5.0,1.09,7,0.4,0.06,1,6.0,2.0,9,L-L-L,H-L-H
Apple Developer,41,3.6,0.61,4,5.0,1.2,7,2.8,0.46,4,L-L-L,L-H-H
Alibaba Cloud,18,5.4,1.94,8,0.8,0.22,2,4.8,1.67,6,L-L-L,H-L-H
kakao tech,18,5.2,1.56,9,0.0,0.0,0,5.6,1.72,7,L-L-L,H-L-H
Anthropic,26,5.4,1.65,6,2.8,0.58,5,1.8,0.35,5,L-L-L,H-H-L
OpenAI,32,5.8,1.5,7,2.0,0.44,4,2.2,0.41,3,L-L-L,H-H-L
Meta Developers,33,3.6,1.0,4,4.4,1.21,6,1.6,0.24,3,L-L-L,L-H-L
Replit,28,6.2,2.25,9,1.4,0.39,2,1.8,0.46,3,L-L-L,H-L-L
Schneider Electric,35,4.8,1.11,6,0.4,0.06,2,4.2,0.66,11,L-L-L,H-L-H
AMD,29,2.8,0.66,4,4.8,1.03,6,1.6,0.28,3,L-L-L,L-H-L
IQVIA,37,2.6,0.35,5,1.2,0.16,4,5.2,0.97,7,L-L-L,L-L-H
ElevenLabs,28,4.0,0.82,6,2.0,0.36,3,2.8,0.5,6,L-L-L,H-H-H
