channel,year,n_docs,aut_top3,aug_top3,dat_top3,aitf_sum,delta_sum,shift
AMD,2025,11,3.0,5.33,1.33,9.66,,기준연도
AMD,2026,18,2.0,3.33,1.33,6.66,-3.0,정체
AWS Developers,2024,15,4.0,2.67,6.0,12.67,,기준연도
AWS Developers,2025,15,2.67,2.33,2.33,7.33,-5.34,증강 -0.3
AWS Developers,2026,23,3.67,2.33,3.67,9.67,2.34,데이터 +1.3
AWS Events,2026,26,8.0,4.33,11.33,23.66,,기준연도
Accenture,2026,7,3.0,0.33,0.33,3.66,,기준연도
Alibaba Cloud,2026,18,6.67,1.33,5.33,13.33,,기준연도
Anthropic,2025,23,5.67,3.33,2.33,11.33,,기준연도
Apple Developer,2026,41,4.0,6.33,3.33,13.66,,기준연도
Arm,2025,20,5.67,2.0,1.0,8.67,,기준연도
Arm,2026,23,3.33,1.0,2.0,6.33,-2.34,데이터 +1.0
Boston Consulting Group,2026,10,2.33,0.67,0.33,3.33,,기준연도
Boston Dynamics,2023,3,2.67,0.0,0.33,3.0,,기준연도
Boston Dynamics,2024,4,6.67,0.0,0.33,7.0,4.0,자동화 +4.0
Boston Dynamics,2025,3,3.33,0.0,3.67,7.0,0.0,데이터 +3.3
Cerebras,2026,8,1.67,0.33,2.67,4.67,,기준연도
Cohere,2025,25,5.0,4.67,6.33,16.0,,기준연도
Cohere,2026,36,7.0,5.67,6.67,19.34,3.34,자동화 +2.0
Cursor,2026,7,4.67,2.0,0.33,7.0,,기준연도
Databricks,2025,17,4.33,4.33,7.67,16.33,,기준연도
Databricks,2026,48,7.67,3.33,8.67,19.67,3.34,자동화 +3.3
ElevenLabs,2025,5,1.33,1.0,1.0,3.33,,기준연도
ElevenLabs,2026,23,4.67,2.33,3.67,10.67,7.34,자동화 +3.3
GE HealthCare,2026,23,4.67,2.33,1.67,8.67,,기준연도
GitHub,2026,33,4.0,8.33,1.67,14.0,,기준연도
Google,2026,15,1.0,0.67,1.0,2.67,,기준연도
Google Cloud Tech,2026,69,6.0,4.0,8.0,18.0,,기준연도
Google Developers,2025,20,2.33,3.0,1.67,7.0,,기준연도
Google Developers,2026,42,2.67,3.0,2.33,8.0,1.0,데이터 +0.7
Huawei,2025,22,5.33,0.0,6.33,11.66,,기준연도
Huawei,2026,27,5.33,2.33,5.33,12.99,1.33,증강 +2.3
