file,title,channel,source,lang,month,words,url,aut_level,aut_scope,aut_impact,aut_future,aut_total,aut_hits,aug_level,aug_scope,aug_impact,aug_future,aug_total,aug_hits,dat_level,dat_scope,dat_impact,dat_future,dat_total,dat_hits,aitf_sum,cell_paper,cell_relative,aut_evidence,aug_evidence,dat_evidence
transcripts/2026-07-04/AI_adoption_Watch_this_video_10_times._(I'll_feed_you_everyt__1f5ijgzt1-I.md,AI adoption? Watch this video 10 times. (I'll feed you everything.),조코딩AX파트너스-랩스 and 조코딩AX파트너스,keyword,ko,2026-07,1099,https://www.youtube.com/watch?v=1f5ijgzt1-I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,L-L-L,L-L-L,,,그런데 벡터 DB를 구축하게 되면 퇴사는 회사를 그만두는 것 단어적으로 비슷한게 하나도 없지만 의미적으로 갔다면 그 데이터를 가져올 수 있게 됩니다. 현재 들어온 민원과 의미적으로 비슷한 데이터들을 벡터 DV에서 AI가 가져오게 되겠죠. 그 결과 공무원들은 이제 법령을 하나하나 찾아보지 않아도 되고 이전 민원 사례 DB를 하나하나 찾아보지 않으셔도 됩니다.
transcripts/2026-07-06/(Quick_Overview)_Korea's_Real_Engine_of_the_AI_Revolution_M.__EDHZlKgvwm4.md,(Quick Overview) Korea's Real Engine of the AI Revolution: M.AX,KOTRA TV,keyword,en,2026-07,316,https://www.youtube.com/watch?v=EDHZlKgvwm4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L-L-L,L-L-L,,,
transcripts/2026-07-06/AI_컨설팅_소규모_기업을_위한_AI_도입_4단계_전략__JDpFu9sfCZM.md,AI 컨설팅: 소규모 기업을 위한 AI 도입 4단계 전략,홍소장,keyword,ko,2026-07,100,https://www.youtube.com/watch?v=JDpFu9sfCZM,1,0,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,L-L-L,H-L-L,공적인 AI 도입을 위한 4단계 핵심 전략을 소개합니다 첫째 교육입니다 대표와 직원이 AI 활용 역량을 갖추는 것이 첫단계입니다 대표는 비즈니스 전략적 활용법을 직원은 실무중심의 AI 도구 법을 배우게 됩니다 과 단계적 도입입니다 기업의 상황에 맞는 AI 로드맵을 설계하고 작은 성공 사례를 통해 점진적으로 AI 활용을 확장합니다 성과를 검증하며 지속적인 최적화도 이룹니다 셋째 동화입니다 반복적인 업무를 AI 자동화하여 시간과 비용을 전략하고 직원들이 핵심 업무에 집중할 수 있도록 돕습니다 넷째 마케팅 콘텐츠 제작입니다 도구를 활용해,,
transcripts/2026-07-06/Webinar_From_onboarding_to_impact_-_the_5_stages_of_enterpri__uySY32ItxSc.md,Webinar: From onboarding to impact - the 5 stages of enterprise AI adoption,BOI (Board of Innovation),keyword,en,2026-07,6245,https://www.youtube.com/watch?v=uySY32ItxSc,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,L-L-L,L-L-L,Not just from an automation standpoint. It's it's it's really not that.,,
transcripts/2026-07-18/26_Years_of_Survival_Keyword_AX_(Great_AI_Transformation)_We__VRYJJJBqsDE.md,26 Years of Survival Keyword AX (Great AI Transformation): We’ll Tell You Everything in Just One ...,메타코드M,keyword,ko,2026-07,6534,https://www.youtube.com/watch?v=VRYJJJBqsDE,3,1,0,2,6,18,3,2,0,3,8,12,1,0,0,1,2,2,16,L-L-L,H-H-L,보통 어 자동화랑 증강이라는 표현을 조금 더 대비해서 쓰고 있는데요. 어 최근 자동화라는 거는 DT 시절부터 그 RPA 로보틱스 프로세스 오토메이션 시절부터 있었던 표현이긴 합니다. AI 생성형 AI로 쓰다 보니까 자연호 처리가 되고 여러 가지 멀티모델이 되고 굉장히 손쉽게 저희가 붙여 쓸 수 있습니다.,어 저도 강연을 듣는 사람일 때도 있고 강연을 하는 사람일 수도 있는데 오늘 들으시는 분들은 같은 직장 동료로서 어 새로운 관점으로 조금 또는 비슷한 공감되는 관점을 조금 더 증강하고 저희가 디벨롭한다라는 관점으로 같이 봐 주시면 좋을 것 같습니다. 어 해당 발표에서는 기술 도입하는 업무 조직을 다시 설계하는 관점에서 조금 더 실용적이고 운영 가능한 AX에 대해서 조금 더 말씀드리도록 하겠습니다. 오른쪽은 제 메일하고 랭크인데요. 혹시 보시면서 어 궁금하시거나 아마 1한시간 2시간 사이에 모든 것들이 어 명확하게 또는 추가적으로 궁,해당 부분은 기존에 뭐 마케팅 인텔리전스처럼 데이터 수집하고 크롤링해 가지고 보여 주는 부분도 있지만 해당 의사 결정에서는 처음에 사실 진행하라고 했지만 아날로그를 디지털라이션 하는 것들이 DT 프로젝트에서는 많았습니다. 그래서 그때는 기민한 보고의 목표가 있었다면은 지금은 진능화되고 결국에는 우리의 의사 결정들을 어 조금 더 낮게 한다라고 보실 수 있습니다.
transcripts/2026-07-18/AI_도입을_위한_데이터_거버넌스_구축_전략은_(김유신_상무)__vH_g9HIm154.md,AI 도입을 위한 데이터 거버넌스 구축 전략은? (김유신 상무),티타임즈TV,keyword,ko,2026-07,2285,https://www.youtube.com/watch?v=vH_g9HIm154,0,0,0,0,0,0,1,0,0,1,2,1,4,2,3,2,11,52,13,L-L-H,L-L-H,,그래도 한 번쯤 알고 가시면 좋을 것 같아서 잠깐 설명을 드리면 데이터 어그멘테이션이라는 부분은 데이터 증강이라고 얘기를 할 수 있습니다. 사실 우리가 원하는 데이터들이 그렇게 많이 없을 수 있어요. 그러면이 데이터의 종류에 따라서 비전 데이터 같은 경우에 이미지 데이터면 약간 위치를 바꾼다든지 이제 배경을 바꾼다든지 크기를 바꾼다든지 이렇게 해 가지고 데이터의 종류들을 늘릴 수도 있고요.,그래서 데이터가 어느 정도 쌓여 있다라고 하는 기업에서는 데이터 거버넌스를 다시 한번 살펴보고 구축할 필요가 있습니다. 데이터 사일로 문제를 해결하자면 기술적뿐만 아니라 문화적인 측면도 있습니다. 조직이나 시스템 간의 데이터가 개별적으로 관리되다 보니 이런 서로의 데이터들에 대해서 이야기를 하지 않거나 교류가 되지 않는 문제들이 있는데요. 이런 문제들이 발생하게 되면 데이터의 중복 문제도 발생하고 종합적이고 전사적인 데이터 유통이 제한되는 문제도 있을 수 있겠죠.
transcripts/2026-07-18/AI_도입을_위해_AI_도입보다_더_중요한_것은_(김유신_상무)__4n4xMvpuCDY.md,AI 도입을 위해 AI 도입보다 더 중요한 것은? (김유신 상무),티타임즈TV,keyword,ko,2026-07,3395,https://www.youtube.com/watch?v=4n4xMvpuCDY,2,0,0,0,2,2,0,0,0,0,0,0,4,1,1,0,6,19,8,L-L-L,L-L-H,"그리고 과거에 RPA라고 이야기되었던 그 기업 내부의 프로세스들을 자동화하는 것들이 요즘에는 생성형 AI와 접목이 되어서 훨씬 더 편리하고 훨씬 더 강력한 도구로 거듭나고 있습니다. 정리해 보면 AI+ X 우리 기업의 고유 비즈니스 도메인의 AI를 어떻게 적용할 것인가? AI 트랜스포메이션, AI 우리 기업 내에서 업무를 하는데 어떻게 AI를 활용할 것인가 두 가지를 구분해서 생각하시는게 좋습니다.",,"그 문화라는 건 무엇이냐면 일하는 방식, 의사 결정을 하는 방식들을 데이터 기반으로, AI 기반으로 진행을 하겠다라고 하는 부분입니다. 또 하나의 AI를 기업에서 잘 활용하는 방법 중 하나는 모든 직원들과 임원들, 경영층이 AI 리터러시를 확보하는 것입니다. AI 리터러시라는 것은 그렇게 어려운 것이 아닙니다. AI 기술을 알아야 된다가 아니고요."
"transcripts/2026-07-18/AI_전환(AX)_시대,_어떤_직무가_끝까지_살아남을까ㅣ『AI_전환_절대_공식』저자_김건우__7s8O1R8p0Rk.md","AI 전환(AX) 시대, 어떤 직무가 끝까지 살아남을까?ㅣ『AI 전환 절대 공식』저자 김건우",AI 전환공식 김건우,keyword,ko,2026-07,1584,https://www.youtube.com/watch?v=7s8O1R8p0Rk,2,0,0,0,2,2,2,0,1,3,6,2,0,0,0,0,0,0,8,L-L-L,L-H-L,여기서 명확하게 한다라는 거는 분해하고 자동화될 지점을 자동화하고 사람이 개입해야 될 지점을 구분하고 저런 갖고 있는 워크로를 바꿀 것인지 아니면 유지하면서 AI를 도입할 것인지 여러 가지에 대한 업무를 보는 눈이 필요한 역할이라고 볼 수 있습니다. 해당 직무는 오히려 기술자보다는 도메인 전문가가 기술과 같이 하이브리드 돼서 성장하는 관점으로 역할이 보여될 수 있습니다. AI 트랜스포메이션 시대에 있어서 첫 번째 중요한 인력이라고 생각합니다.,핵심은 대체가 아니라 기대 역할에 대한 변화라고 말씀드릴 수 있는데요. 그 부분은 결는 내가 하고 있는 거 그리고 회사 소속 또는 개인이라면은 개인의 비즈니스 차원에서 어떠한 역할을 AI와 함께 해야 되는지에 대한 생각과 변화성으로서 기준들이 달라지고 있습니다. 그다음에 있는 예시를 살펴보면요. 미국의 신입 채용 계획이 오히려 세 배 확대 계획이 있다고 합니다.,
transcripts/2026-07-18/AI_전환_(AX)_성공한_기업들은_무엇이_다를까_JP모건·월마트_사례로_보는_AX_성공_공식_(AI_전환___-B2A2gIxwIY.md,AI 전환 (AX) 성공한 기업들은 무엇이 다를까? | JP모건·월마트 사례로 보는 AX 성공 공식 (AI 전환 절대공식 저자),AI 전환공식 김건우,keyword,ko,2026-07,1734,https://www.youtube.com/watch?v=-B2A2gIxwIY,0,0,0,0,0,0,3,3,1,1,8,3,1,1,0,1,3,1,11,L-L-L,L-H-L,,전사 업무 지원에 대한 제네를 만들었습니다. 150만 명 대산으로 AI 도구를 만들었고요. 기획하고 운영의 생산성을 향상했습니다. 그리고 공급망과 운영 AI에 대한 연결 지점들을 통합적으로 가져갔습니다. 여기서 포인트는요. 전사 업무 지원 구조로 확대된다. 교육 시작 자체는 특정 부서와 공통적인 부분들을 먼저 지점을 찾았어요.,"저는 뭐 삼성, LG, CJ, 현대자동차 그룹 등 여러 가지 대기업에서 AI 전략 기획이라는 업무를 했고 팀 리더 그리고 컨설팅을 하면서 많은 기업들을 상대해 왔습니다. 많은 기업들을 만나면서 그 레스토널을 모아서 베스트셀러임 AI 전환 절대 공식이라는 책을 최근에 발관해서 좋은 반응을 얻고 있고요."
transcripts/2026-07-18/AX_(AI_전환)_제대로_모르면_망합니다_개념·사례·원리_완벽_정리_(AI_전환_절대공식_저자)__Kaaq7_9vzYs.md,AX (AI 전환) 제대로 모르면 망합니다 | 개념·사례·원리 완벽 정리 (AI 전환 절대공식 저자),AI 전환공식 김건우,keyword,ko,2026-07,2263,https://www.youtube.com/watch?v=Kaaq7_9vzYs,0,0,0,0,0,0,2,1,1,3,7,2,0,0,0,0,0,0,7,L-L-L,L-H-L,,"매장 직원의 대부분 거의 8, 90% 이상이 고객 응대, 운영, 업무 지원의 생성회를 연결해서 쓰습니다. 그리고 AI를 별도 실험이 아니라 실제 고객을 대응하고 빠르게 대처할 수 있는 도구 또는 업무 동료로서 활용하였습니다. 그럼 타겟이라는 회사는요. 마찬가지로 얼마처럼 유통 업체인데 디자인이나 인테리어 같은 부분에 조금 더 치중한 글로벌 업체입니다. 해당 업체에서는 스토어 컴페니언이라는 좀 특이한 제네의 도구를 만들었는데요.",
