country,n_docs,에이전트 오케스트레이션,검색·컨텍스트·메모리(RAG),코딩·개발 자동화,대화·고객서비스,문서·데이터 처리,생성 미디어(이미지·영상·음성),거버넌스·평가·보안,자율주행·로보틱스·물리AI,인프라·칩·컴퓨트,예측·분석·최적화
(전체),7416,27.1%,21.9%,22.1%,14.6%,5.2%,3.0%,45.4%,13.9%,40.9%,42.2%
미국,4293,34.0%,24.0%,28.2%,18.3%,5.5%,3.6%,47.3%,12.8%,43.3%,45.3%
한국,510,12.5%,33.5%,7.3%,8.0%,9.2%,2.7%,62.4%,13.7%,50.4%,49.0%
중국,207,16.4%,7.2%,8.2%,8.7%,4.8%,1.9%,28.5%,4.3%,25.6%,23.7%
독일,384,29.7%,31.2%,18.5%,11.7%,6.0%,1.0%,53.1%,20.8%,40.4%,49.2%
프랑스,260,10.0%,3.1%,12.3%,4.6%,0.8%,0.0%,38.1%,10.0%,36.9%,29.2%
영국,245,17.1%,12.2%,12.7%,5.3%,1.6%,1.2%,29.8%,26.5%,38.0%,24.9%
일본,236,3.0%,2.1%,11.9%,8.1%,2.1%,1.3%,23.3%,8.5%,28.8%,17.4%
인도,128,10.2%,3.9%,5.5%,4.7%,2.3%,0.0%,33.6%,12.5%,26.6%,32.8%
캐나다,216,27.3%,38.4%,31.9%,13.4%,10.6%,8.3%,65.7%,21.3%,57.4%,63.9%
키워드(한국중심),164,53.0%,35.4%,22.6%,26.8%,7.3%,4.9%,75.6%,36.6%,64.0%,70.7%
