org,verdict,blocks,block_srcs,own_src,third_src,months,nar_kb,nums,blk_with_before,blk_with_fail,blk_with_actor,blk_dual,auto,aug,fail,variants,top_docs
Zapier,CORE,103,35,143,0,11,2383.4,1392,61,12,46,2,1009,415,128,Zapier,transcripts/channels/Zapier/Steal_Zapier's_AI_Playbook_for_Accounting_How_8_People_Run_a__CxrrXKFn6cg.md|transcripts/channels/Zapier/Gong's_Amit_Bendov_on_Powering_Your_Company_Brain__YEbksTLOfjs.md|transcripts/channels/Zapier/From_Zero_to_Millions_in_ARR_How_AI-Powered_Builders_Are_Sca__rHyqHuZ93Z4.md|transcripts/channels/Zapier/Leading_through_AI_How_top_executives_are_turning_AI_mandate__g6q02hUd_Wc.md|transcripts/channels/Zapier/Lovable's_Ryan_Meadows_on_the_New_GTM_Playbook__FeZ93evIfbM.md
Weights & Biases,CORE,78,32,147,0,13,2275.9,1825,29,8,43,4,421,100,122,Weights & Biases,transcripts/channels/Weights_&_Biases/What’s_the_path_to_AGI_A_conversation_with_Turing_Co-founder__DJS7cop0CCw.md|transcripts/channels/Weights_&_Biases/Atlassian’s_Most_Controversial_Growth_Decision_Mike_Cannon-B__S3RmvHfJll4.md|transcripts/channels/Weights_&_Biases/GitHub_CEO_Thomas_Dohmke_on_Copilot_and_the_Future_of_Softwa__PPs5lZ2syv4.md|transcripts/channels/Weights_&_Biases/The_$8.6B_Self-Driving_AI_Backed_by_Nvidia_and_Uber_Alex_Ken__k5wgts8y-xU.md|transcripts/channels/Weights_&_Biases/How_GenAI_is_powering_the_next_generation_of_Mercari_Marketp__tEbLkgDCmzg.md
Google Cloud Tech,CORE,68,34,127,0,2,1328.8,886,25,9,30,0,164,22,90,Google Cloud Tech,transcripts/channels/Google_Cloud_Tech/Accelerate_R&D_with_Gemini-based_agents_Co-Scientist_and_Alp__nhoLefVqv6I.md|transcripts/channels/Google_Cloud_Tech/From_prompts_to_production_Startup_multi-agent_workflows__7FjVoGD3K-Y.md|transcripts/channels/Google_Cloud_Tech/Inside_Google_Antigravity_2.0_The_complete_developer_guide_T__Dk4MD6TNiWE.md|transcripts/channels/Google_Cloud_Tech/Intent-driven_development_with_Claude_Code_&_Fable_5__6ERUGFurDHY.md|transcripts/channels/Google_Cloud_Tech/Power_intelligent_agents_with_AI-native_databases__7awKinJhGPo.md
AWS Events,CORE,65,17,31,0,2,415.0,712,37,11,32,2,92,7,83,AWS Events,transcripts/channels/AWS_Events/AWS_Summit_Bengaluru_2026_Innovators_Edition_Keynote_AWS_Eve__CprBATdRoh0.md|transcripts/channels/AWS_Events/AWS_Summit_Mumbai_2026_Keynote_AWS_Events__0x_Q0wNux_U.md|transcripts/channels/AWS_Events/A_leader’s_guide_to_advanced_team_structures_in_an_agentic_w__O7u6myBRsns.md|transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_The_Collective_Edge_Cross-functio__3JHA7ayOJuE.md|transcripts/channels/AWS_Events/AWS_Summit_Washington_DC_2026_-_Keynote_Amazon_Web_Services__QGaPF8NsOE4.md
McKinsey & Company,CORE,59,33,134,0,13,1353.0,2028,33,13,32,2,198,26,123,McKinsey & Company,transcripts/channels/McKinsey_&_Company/The_Rise_of_the_Human–AI_Workforce__pt7pbl7Jhhg.md|transcripts/channels/McKinsey_&_Company/AI_Is_Supercharging_Software_Development._Humans_Determine_I__C6qkggkxPrs.md|transcripts/channels/McKinsey_&_Company/AI_in_the_Physical_World_CES_Look-Ahead__a8FkSjyje7I.md|transcripts/channels/McKinsey_&_Company/From_Strategy_to_Performance_How_leaders_can_build_an_operat__coXorr4pZJs.md|transcripts/channels/McKinsey_&_Company/Rewiring_for_AI_From_Ambition_to_Advantage__E7KxzkK2lYA.md
Salesforce,CORE,55,21,109,0,5,859.8,736,27,3,13,0,90,21,65,Salesforce,"transcripts/channels/Salesforce/Introducing..._the_NEW_Slack!__vYUqOU-QV-o.md|transcripts/channels/Salesforce/Build_the_Future_with_Salesforce_Headless_360_TDX_2026_Keyno__aKsZdyyzcfU.md|transcripts/channels/Salesforce/Win_More_Sales_Salesforce_Agentforce_for_Sales_Productivity__fJxyv1bYJoc.md|transcripts/channels/Salesforce/Agentforce_World_Tour_NYC_Main_Keynote_2025_Salesforce__sSIB8rZTkew.md|transcripts/channels/Salesforce/This_Month_at_Salesforce_Episode_1_–_Agentforce,_Headless_36__DS2TayhX0HA.md"
SAP,CORE,50,25,107,0,4,508.6,446,31,10,16,2,304,7,25,SAP,transcripts/channels/SAP/Customer_Success_Keynote_Connected_to_Win_From_Moment_to_Mom__WpDHkeHIezc.md|transcripts/channels/SAP/Global_Keynote_The_Beginning_of_Better_SAP_Sapphire_Orlando___9aa-etRsaLU.md|transcripts/channels/SAP/The_Future_of_Integration_with_SAP_BTP_feat._Dr._Achim_Krais__ZzBZWAbinzE.md|transcripts/channels/SAP/Customer_Success_Keynote_Connected_to_Win_From_Moment_to_Mom__dG9aBkJCcso.md|transcripts/channels/SAP/Global_Keynote_The_Beginning_of_Better_SAP_Sapphire_Madrid_2__CocpyxAizwE.md
Databricks,CORE,49,25,134,0,7,916.3,702,16,6,28,3,136,54,45,Databricks,"transcripts/channels/Databricks/Agentic_machine_learning_with_Genie_Code_(includes_demo)__C1rEj2VQtwU.md|transcripts/channels/Databricks/Data_+_AI_Summit_Keynote_2026_Day_1__Qux8E-L1mk8.md|transcripts/channels/Databricks/AI-Ready_Data_on_Databricks_How_TK_Elevator_Uses_Context_and__fHVV_09zIr4.md|transcripts/channels/Databricks/Building_Trustworthy,_High-Quality_AI_Agents_with_MLflow__NcHCkPMww7Q.md|transcripts/channels/Databricks/Sam_Altman_and_Ali_Ghodsi_OpenAI_+_Databricks,_AI_Agents_in___gz1sOEETcgE.md"
NVIDIA,CORE,43,20,89,2,7,650.9,724,23,2,12,0,149,11,34,NVIDIA|Nvidia,transcripts/channels/NVIDIA/NVIDIA_GTC_2026_Healthcare_Special_Address__TCOU1imv09U.md|transcripts/channels/NVIDIA/How_NVIDIA_Runs_Its_Own_AI_Factory_AI_Factory_Insider_Ep._2__Jpsq_-1kJTo.md|transcripts/channels/NVIDIA/CEO_Fireside_Chat_With_Jensen_Huang_and_Pascal_Daloz_at_Dass__3e6dR82pmdU.md|transcripts/channels/NVIDIA/Snap’s_GPU-Accelerated_Secret_to_Processing_10_Petabytes_a_D__glT-zO8B_qk.md|transcripts/channels/NVIDIA/Advancing_AI_and_HPC_Competency_in_Higher_Education_Through___DIIteghPGx4.md
Replit,CORE,42,17,120,0,9,1185.6,801,26,5,18,0,258,12,78,Replit,"transcripts/channels/Replit/Entrepreneurs_The_New_Playbook_with_Troy_Osinoff,_Nik_Sharma__RtTxm6VV2N8.md|transcripts/channels/Replit/Custom_Sales_Tools_with_Replit_Your_Salesforce,_Your_Way__Aoj095r_288.md|transcripts/channels/Replit/Replit_Agent_3_Building_with_the_community__I18FNKcD3ek.md|transcripts/channels/Replit/Replit_Agent_3_First_Look__4FxNXFOdt6w.md|transcripts/channels/Replit/Teaching_Agents_to_Code_Bleeding-Edge_AI_at_Replit__vw727qcskUQ.md"
