company,date,source,label,case_type,mentions,title,claim,has_metric,score,rank,url,file
조코딩AX파트너스-랩스 and 조코딩AX파트너스,2026-07,keyword,AX,자사/일반,,AI adoption? Watch this video 10 times. (I'll feed you everything.),이 영상을 보고 AX 전환을 하고 싶은 생각이 드신 분들께는 선착순 30분께 AX 컨설팅을 무료로 진행해 드립니다.,Y,3,1,https://www.youtube.com/watch?v=1f5ijgzt1-I,transcripts/2026-07-04/AI_adoption_Watch_this_video_10_times._(I'll_feed_you_everyt__1f5ijgzt1-I.md
조코딩AX파트너스-랩스 and 조코딩AX파트너스,2026-07,keyword,AX,자사/일반,,AI adoption? Watch this video 10 times. (I'll feed you everything.),기업들 AI 전환 그러니까 AX를 실제로 구축해 주는 일을 하고 있습니다.,N,2,2,https://www.youtube.com/watch?v=1f5ijgzt1-I,transcripts/2026-07-04/AI_adoption_Watch_this_video_10_times._(I'll_feed_you_everyt__1f5ijgzt1-I.md
조코딩AX파트너스-랩스 and 조코딩AX파트너스,2026-07,keyword,AX,자사/일반,,AI adoption? Watch this video 10 times. (I'll feed you everything.),이 이 문제들을 한 번에 해결할 수 있게 블로그 에이전트를 개발했는데요.,N,2,3,https://www.youtube.com/watch?v=1f5ijgzt1-I,transcripts/2026-07-04/AI_adoption_Watch_this_video_10_times._(I'll_feed_you_everyt__1f5ijgzt1-I.md
KOTRA TV,2026-07,keyword,unclassified,자사/일반,,(Quick Overview) Korea's Real Engine of the AI Revolution: M.AX,Max is manufacturing AI transformation.,N,2,1,https://www.youtube.com/watch?v=EDHZlKgvwm4,transcripts/2026-07-06/(Quick_Overview)_Korea's_Real_Engine_of_the_AI_Revolution_M.__EDHZlKgvwm4.md
KOTRA TV,2026-07,keyword,unclassified,자사/일반,,(Quick Overview) Korea's Real Engine of the AI Revolution: M.AX,It's about [music] scaling advanced manufacturing with AI.,N,2,2,https://www.youtube.com/watch?v=EDHZlKgvwm4,transcripts/2026-07-06/(Quick_Overview)_Korea's_Real_Engine_of_the_AI_Revolution_M.__EDHZlKgvwm4.md
홍소장,2026-07,keyword,unclassified,자사/일반,,AI 컨설팅: 소규모 기업을 위한 AI 도입 4단계 전략,[음악] a 소규모 기업의 성공적인 AI 도입을 위한 4단계 핵심 전략을 소개합니다 첫째 교육입니다 대표와 직원이 AI 활용 역량을 갖추는 것이 첫단계입니다 대표는 비즈니스 전략적 활용법을 직원은 실무중심의 AI 도구 법을 배우게 됩니다 과 단계적 도입입니다 기업의 상황에 맞는 AI 로드맵을 설계하고 작은 성공 사례를 통해 점진적으로 AI 활용을 확장합니다 성과를 검증하며 지속적인 최적화도 이룹니다 셋째 동화입니다 반복적인 업무를 AI 자동화하여 시간과 비용을 전략하고 직원들이 핵심 업무에 집중할 수 있도록 돕습니다 넷째 마케팅 콘텐츠 제작입니다 도구를 활용해 블로그 마케팅 이미지 영상콘텐츠를 제작하여 브랜드 경쟁력을 강화하고 매출 증가를 지원합니다이 단계를 통해 소규모 기업도 AI 효율성을 높이고 경쟁력을…,N,2,1,https://www.youtube.com/watch?v=JDpFu9sfCZM,transcripts/2026-07-06/AI_컨설팅_소규모_기업을_위한_AI_도입_4단계_전략__JDpFu9sfCZM.md
BOI (Board of Innovation),2026-07,keyword,AX,자사/일반,,Webinar: From onboarding to impact - the 5 stages of enterprise AI adoption,We are a global AI transformation studio and I am calling you based out of our New York office.,N,2,1,https://www.youtube.com/watch?v=uySY32ItxSc,transcripts/2026-07-06/Webinar_From_onboarding_to_impact_-_the_5_stages_of_enterpri__uySY32ItxSc.md
BOI (Board of Innovation),2026-07,keyword,AX,자사/일반,,Webinar: From onboarding to impact - the 5 stages of enterprise AI adoption,"So our key HQs are in New York and in Belgium and we're very much focused on AI transformation across both the enterprise but also specifically the innovation, marketing and commercial functions as well.",N,2,2,https://www.youtube.com/watch?v=uySY32ItxSc,transcripts/2026-07-06/Webinar_From_onboarding_to_impact_-_the_5_stages_of_enterpri__uySY32ItxSc.md
BOI (Board of Innovation),2026-07,keyword,AX,자사/일반,,Webinar: From onboarding to impact - the 5 stages of enterprise AI adoption,"So the topic of today, why does AI adoption feel so difficult?",N,2,3,https://www.youtube.com/watch?v=uySY32ItxSc,transcripts/2026-07-06/Webinar_From_onboarding_to_impact_-_the_5_stages_of_enterpri__uySY32ItxSc.md
메타코드M,2026-07,keyword,AX,자사/일반,,26 Years of Survival Keyword AX (Great AI Transformation): We’ll Tell You Everything in Just One ...,"어, 굉장히 좋은 비전과 방향을 갖고 있고 심지어 2025년에는 어,이 대응이 700명 분량에 대체의 AI 에이전트를 만들어서 실제 재무적인 성과는 가져왔습니다.",Y,4,1,https://www.youtube.com/watch?v=VRYJJJBqsDE,transcripts/2026-07-18/26_Years_of_Survival_Keyword_AX_(Great_AI_Transformation)_We__VRYJJJBqsDE.md
메타코드M,2026-07,keyword,AX,협력/고객사 언급,JP 모건,26 Years of Survival Keyword AX (Great AI Transformation): We’ll Tell You Everything in Just One ...,JP 모건에 25만 명에 AI 배포하는 거 JP 모건이라는 회사를 너무 잘하실 겁니다.,Y,4,2,https://www.youtube.com/watch?v=VRYJJJBqsDE,transcripts/2026-07-18/26_Years_of_Survival_Keyword_AX_(Great_AI_Transformation)_We__VRYJJJBqsDE.md
메타코드M,2026-07,keyword,AX,자사/일반,,26 Years of Survival Keyword AX (Great AI Transformation): We’ll Tell You Everything in Just One ...,어 해당 부분이 점점 바뀌면서 24시간에 대한 노동력의 대체가 어느 정도 가능하고 효율화 가능해졌습니다.,Y,3,3,https://www.youtube.com/watch?v=VRYJJJBqsDE,transcripts/2026-07-18/26_Years_of_Survival_Keyword_AX_(Great_AI_Transformation)_We__VRYJJJBqsDE.md
티타임즈TV,2026-07,keyword,DX,자사/일반,,AI 도입을 위한 데이터 거버넌스 구축 전략은? (김유신 상무),즉 데이터를 가지고 AI라든지 데이터 분석이라든지 이런 것들을 하려고 하는 기업의 80% 정도가 실패할 수 있다라는 굉장히 이제 심각한 얘기들을 하고 있는데 그것의 가장 중요한 요인 중 하나가 데이터 거버넌스를 잘 구축하고 활용하지 않기 때문이다라는 얘기인 거죠.,Y,3,1,https://www.youtube.com/watch?v=vH_g9HIm154,transcripts/2026-07-18/AI_도입을_위한_데이터_거버넌스_구축_전략은_(김유신_상무)__vH_g9HIm154.md
티타임즈TV,2026-07,keyword,DX,자사/일반,,AI 도입을 위한 데이터 거버넌스 구축 전략은? (김유신 상무),칩 데이터 오피서들 같은 경우에 CDO의 45% 정도가 데이터 거버넌스를 구축하는 것을 최우선 과제로 선정할 정도로 중요하게 생각하고 있습니다.,Y,3,2,https://www.youtube.com/watch?v=vH_g9HIm154,transcripts/2026-07-18/AI_도입을_위한_데이터_거버넌스_구축_전략은_(김유신_상무)__vH_g9HIm154.md
티타임즈TV,2026-07,keyword,DX,자사/일반,,AI 도입을 위한 데이터 거버넌스 구축 전략은? (김유신 상무),"아니, 이제 우리는 AI를 빨리 써야 되는데 앞으로 2, 3년 동안 AI를 활용하는 것이 아니라 데이터만 쌓고 있으라고 그건 말이 안 된다라고 말씀을 드렸죠.",Y,3,3,https://www.youtube.com/watch?v=vH_g9HIm154,transcripts/2026-07-18/AI_도입을_위한_데이터_거버넌스_구축_전략은_(김유신_상무)__vH_g9HIm154.md
티타임즈TV,2026-07,keyword,DX,자사/일반,,AI 도입을 위해 AI 도입보다 더 중요한 것은? (김유신 상무),"근데 막 2, 3년씩 기다릴 여유가 없다라고 하게 되면 공개되어 있는 데이터를 활용하시거나 유사한 AI 모델을 가져와서 먼저 구축을 하셔야 되고요.",Y,4,1,https://www.youtube.com/watch?v=4n4xMvpuCDY,transcripts/2026-07-18/AI_도입을_위해_AI_도입보다_더_중요한_것은_(김유신_상무)__4n4xMvpuCDY.md
티타임즈TV,2026-07,keyword,DX,자사/일반,,AI 도입을 위해 AI 도입보다 더 중요한 것은? (김유신 상무),그런데 데이터를 얼마만큼 쌓야 되느냐 아마 그 기업의 특성에 따라서 다르긴 하겠지만 어 1년 이상 수년에 걸쳐 가지고 데이터를 쌓아 놔야지 그 데이터의 양도 그렇고 데이터의 변화의 패턴 같은 것도 분석할 수 있기 때문에 몇 년 정도의 데이터가 쌓여야지만 AI를 적용할 수가 있죠.,Y,3,2,https://www.youtube.com/watch?v=4n4xMvpuCDY,transcripts/2026-07-18/AI_도입을_위해_AI_도입보다_더_중요한_것은_(김유신_상무)__4n4xMvpuCDY.md
