month,total,DX,AX,AT,unclassified,AX_share,DX_share,AT_share
2020-01,2,0,0,0,2,0.0,0.0,0.0
2020-03,2,0,0,0,2,0.0,0.0,0.0
2020-04,3,0,0,0,3,0.0,0.0,0.0
2020-05,1,0,0,0,1,0.0,0.0,0.0
2020-06,1,0,0,0,1,0.0,0.0,0.0
2020-07,1,0,0,0,1,0.0,0.0,0.0
2020-08,1,0,0,0,1,0.0,0.0,0.0
2020-09,1,0,0,0,1,0.0,0.0,0.0
2020-10,1,0,0,0,1,0.0,0.0,0.0
2020-11,5,0,0,0,5,0.0,0.0,0.0
2020-12,18,0,2,1,15,0.111,0.0,0.056
2021-02,4,1,0,0,3,0.0,0.25,0.0
2021-03,6,0,0,0,6,0.0,0.0,0.0
2021-04,5,0,1,0,4,0.2,0.0,0.0
2021-05,4,0,2,0,2,0.5,0.0,0.0
2021-06,9,2,0,0,7,0.0,0.222,0.0
2021-07,1,0,0,0,1,0.0,0.0,0.0
2021-08,1,0,0,0,1,0.0,0.0,0.0
2021-09,9,0,1,0,8,0.111,0.0,0.0
2021-10,9,0,0,0,9,0.0,0.0,0.0
2021-11,4,1,1,0,2,0.25,0.25,0.0
2021-12,17,0,5,0,12,0.294,0.0,0.0
2022-01,1,0,0,0,1,0.0,0.0,0.0
2022-02,2,1,0,0,1,0.0,0.5,0.0
2022-03,2,1,0,0,1,0.0,0.5,0.0
2022-04,2,0,0,0,2,0.0,0.0,0.0
2022-05,3,0,0,0,3,0.0,0.0,0.0
2022-06,1,0,0,0,1,0.0,0.0,0.0
2022-07,3,0,0,0,3,0.0,0.0,0.0
2022-08,4,0,0,0,4,0.0,0.0,0.0
2022-09,6,0,2,0,4,0.333,0.0,0.0
2022-10,1,0,0,0,1,0.0,0.0,0.0
2022-11,5,0,1,0,4,0.2,0.0,0.0
2022-12,14,1,4,0,9,0.286,0.071,0.0
2023-01,3,0,0,0,3,0.0,0.0,0.0
2023-02,22,1,0,0,21,0.0,0.045,0.0
2023-03,23,0,1,0,22,0.043,0.0,0.0
2023-04,18,2,1,0,15,0.056,0.111,0.0
2023-05,16,0,2,0,14,0.125,0.0,0.0
2023-06,6,0,1,0,5,0.167,0.0,0.0
2023-07,6,0,1,0,5,0.167,0.0,0.0
2023-08,5,0,0,0,5,0.0,0.0,0.0
2023-09,10,0,2,0,8,0.2,0.0,0.0
2023-10,17,0,2,0,15,0.118,0.0,0.0
2023-11,11,0,1,0,10,0.091,0.0,0.0
2023-12,15,0,2,0,13,0.133,0.0,0.0
2024-01,6,0,0,0,6,0.0,0.0,0.0
2024-02,14,1,0,0,13,0.0,0.071,0.0
2024-03,32,0,3,0,29,0.094,0.0,0.0
2024-04,17,0,1,0,16,0.059,0.0,0.0
2024-05,64,0,3,0,61,0.047,0.0,0.0
2024-06,27,0,8,0,19,0.296,0.0,0.0
2024-07,20,0,8,0,12,0.4,0.0,0.0
2024-08,22,0,6,0,16,0.273,0.0,0.0
2024-09,32,0,7,0,25,0.219,0.0,0.0
2024-10,28,0,3,0,25,0.107,0.0,0.0
2024-11,17,0,2,0,15,0.118,0.0,0.0
2024-12,10,0,4,0,6,0.4,0.0,0.0
2025-01,14,0,2,0,12,0.143,0.0,0.0
2025-02,44,0,1,0,43,0.023,0.0,0.0
2025-03,25,0,2,0,23,0.08,0.0,0.0
2025-04,14,0,1,0,13,0.071,0.0,0.0
2025-05,20,0,5,0,15,0.25,0.0,0.0
2025-06,43,0,5,0,38,0.116,0.0,0.0
2025-07,44,0,20,0,24,0.455,0.0,0.0
2025-08,38,0,8,0,30,0.211,0.0,0.0
2025-09,62,1,15,0,46,0.242,0.016,0.0
2025-10,81,1,16,0,64,0.198,0.012,0.0
2025-11,90,1,29,0,60,0.322,0.011,0.0
2025-12,158,0,55,0,103,0.348,0.0,0.0
2026-01,111,1,40,0,70,0.36,0.009,0.0
2026-02,99,0,35,0,64,0.354,0.0,0.0
2026-03,256,3,75,0,178,0.293,0.012,0.0
2026-04,376,4,101,1,270,0.269,0.011,0.003
2026-05,376,5,99,0,272,0.263,0.013,0.0
2026-06,712,17,208,3,484,0.292,0.024,0.004
2026-07,712,28,236,2,446,0.331,0.039,0.003
