n,tier,channel,title,status,quote,file
1,A,Infosys,"The Future of Customer Experience - Creativity, Trust & Technology | Davos 2026 (CMO Breakfast)",ok,Chat GPT는 사용하는 데이터 때문에 오류를 일으키기 때문에 우리 회사에서 기업용으로 사용이 금지되었습니다,"transcripts/channels/Infosys/The_Future_of_Customer_Experience_-_Creativity,_Trust_&_Tech__taeDyZI86h8.md"
1,A,Infosys,"The Future of Customer Experience - Creativity, Trust & Technology | Davos 2026 (CMO Breakfast)",ok,저희는 AI 위원회를 두고 있기 때문에 어떤 도구든 AI 위원회의 승인을 받기 전까지는 평가를 위해 도입될 수 없습니다,"transcripts/channels/Infosys/The_Future_of_Customer_Experience_-_Creativity,_Trust_&_Tech__taeDyZI86h8.md"
1,A,Infosys,"The Future of Customer Experience - Creativity, Trust & Technology | Davos 2026 (CMO Breakfast)",ok,"저희는 '인간 주도, AI 기반'이라는 모토를 가지고 있습니다","transcripts/channels/Infosys/The_Future_of_Customer_Experience_-_Creativity,_Trust_&_Tech__taeDyZI86h8.md"
1,A,Infosys,"The Future of Customer Experience - Creativity, Trust & Technology | Davos 2026 (CMO Breakfast)",ok,"하지만 가장 큰 저항이 보이는 곳이 바로 그곳이고, 가장 큰 두려움은 중간 계층에 있습니다","transcripts/channels/Infosys/The_Future_of_Customer_Experience_-_Creativity,_Trust_&_Tech__taeDyZI86h8.md"
1,A,Infosys,"The Future of Customer Experience - Creativity, Trust & Technology | Davos 2026 (CMO Breakfast)",ok,솔직히 저는 아직 AI에 대한 진정한 투자 수익률(ROI)이 뭔지도 잘 모르겠어요,"transcripts/channels/Infosys/The_Future_of_Customer_Experience_-_Creativity,_Trust_&_Tech__taeDyZI86h8.md"
1,A,Infosys,"The Future of Customer Experience - Creativity, Trust & Technology | Davos 2026 (CMO Breakfast)",ok,"하지만 여러분은 각자의 분야에서 이 새로운 기술에 대해 전혀 걱정하지 않으시는 것 같고, 저희가 질문을 드렸을 때도 그랬습니다.","transcripts/channels/Infosys/The_Future_of_Customer_Experience_-_Creativity,_Trust_&_Tech__taeDyZI86h8.md"
2,A,MIT Corporate Relations,Integrating Generative AI Into Business Strategy: Dr. George Westerman,ok,저는 15년 전에 디지털 전환에 대한 초기 연구를 진행했습니다,transcripts/2026-07-31/Integrating_Generative_AI_Into_Business_Strategy_Dr._George___9RvWcXVaAng.md
2,A,MIT Corporate Relations,Integrating Generative AI Into Business Strategy: Dr. George Westerman,ok,"보험 계약의 98%, 최초 보험금 청구 통지의 98%를 직접 처리하고, 다양한 AIS와 기존 시스템을 결합하여 50%의 보험금 청구를 자동으로 처리합니다.",transcripts/2026-07-31/Integrating_Generative_AI_Into_Business_Strategy_Dr._George___9RvWcXVaAng.md
2,A,MIT Corporate Relations,Integrating Generative AI Into Business Strategy: Dr. George Westerman,ok,제 친구인 다니엘 록은 GPT를 분석하여 매우 엄격한 과정을 통해 전체 직업의 46%가 시간이 지남에 따라 업무의 50%를 AI로 대체할 가능성이 높다고 계산했습니다.,transcripts/2026-07-31/Integrating_Generative_AI_Into_Business_Strategy_Dr._George___9RvWcXVaAng.md
2,A,MIT Corporate Relations,Integrating Generative AI Into Business Strategy: Dr. George Westerman,ok,하지만 그런 혁신은 발견하지 못했습니다.,transcripts/2026-07-31/Integrating_Generative_AI_Into_Business_Strategy_Dr._George___9RvWcXVaAng.md
